run_id,seed,cv_repeat,cv_fold,tn,fp,fn,tp
0,2026,0,0,2243,278,195,2331
1,2027,0,1,2213,308,177,2349
2,2028,0,2,2242,279,190,2336
3,2029,0,3,2262,260,180,2345
4,2030,0,4,2228,293,188,2337
5,2031,1,0,2237,284,184,2342
6,2032,1,1,2262,259,178,2348
7,2033,1,2,2232,289,192,2334
8,2034,1,3,2254,268,181,2344
9,2035,1,4,2209,312,168,2357
10,2036,2,0,2262,259,197,2329
11,2037,2,1,2238,283,172,2354
12,2038,2,2,2244,277,188,2338
13,2039,2,3,2186,336,151,2374
14,2040,2,4,2250,271,189,2336
15,2041,3,0,2254,267,189,2337
16,2042,3,1,2223,298,173,2353
17,2043,3,2,2242,279,162,2364
18,2044,3,3,2232,290,198,2327
19,2045,3,4,2231,290,178,2347
20,2046,4,0,2270,251,190,2336
21,2047,4,1,2192,329,184,2342
22,2048,4,2,2245,276,196,2330
23,2049,4,3,2224,298,152,2373
24,2050,4,4,2255,266,197,2328
25,2051,5,0,2233,288,184,2342
26,2052,5,1,2231,290,175,2351
27,2053,5,2,2214,307,193,2333
28,2054,5,3,2268,254,172,2353
29,2055,5,4,2244,277,191,2334
30,2056,6,0,2243,278,170,2356
31,2057,6,1,2245,276,201,2325
32,2058,6,2,2214,307,166,2360
33,2059,6,3,2259,263,196,2329
34,2060,6,4,2250,271,187,2338
35,2061,7,0,2267,254,198,2328
36,2062,7,1,2223,298,174,2352
37,2063,7,2,2263,258,185,2341
38,2064,7,3,2222,300,185,2340
39,2065,7,4,2221,300,174,2351
40,2066,8,0,2241,280,188,2338
41,2067,8,1,2246,275,192,2334
42,2068,8,2,2219,302,189,2337
43,2069,8,3,2255,267,168,2357
44,2070,8,4,2238,283,177,2348
45,2071,9,0,2209,312,179,2347
46,2072,9,1,2215,306,184,2342
47,2073,9,2,2231,290,190,2336
48,2074,9,3,2255,267,178,2347
49,2075,9,4,2268,253,199,2326
