split,seed,cv_fold,cv_repeat,acc,bacc,prec,rec,f1,auc_roc,ap,brier
train,2026,0,0,0.9242086491306286,0.9241954964665322,0.9114823348694316,0.9398138982379727,0.9254313285895311,0.9811675643194008,0.9803744536942165,0.05614901011135666
test,2026,0,0,0.906280958985536,0.9062645747219791,0.8934457646607896,0.9228028503562945,0.9078870496592015,0.9674676502022755,0.9611274529495781,0.06883706753806358
train,2027,1,0,0.9246544806063308,0.9246419540027369,0.9125084126526296,0.9395169273411206,0.9258157342827878,0.9811150950439379,0.9803345182864782,0.05639104769377974
test,2027,1,0,0.903903308896374,0.9038775002567507,0.8840797892359804,0.9299287410926366,0.9064248504726992,0.9659458333058524,0.9559454201841757,0.06951437027168858
train,2028,2,0,0.9242086491306286,0.9241939112475654,0.909986607996939,0.941694713918036,0.925569176882662,0.9806834885064754,0.9796688622032942,0.05669717710359891
test,2028,2,0,0.9070735090152566,0.9070559477742466,0.8933078393881453,0.9247822644497229,0.9087726123322311,0.969570807120426,0.9664926098691207,0.06702096478708193
train,2029,3,0,0.9242086491306286,0.9241921703086531,0.9099952175992349,0.9417004850044541,0.9255764179394883,0.9810376319074186,0.9799902554732424,0.056451019409073114
test,2029,3,0,0.9128194967307312,0.9128100438909871,0.9001919385796545,0.9287128712871288,0.9142300194931774,0.9692029742228783,0.9630286225940423,0.06694672847516529
train,2030,4,0,0.9234198533782445,0.923404687789148,0.9096218286261369,0.9404137384935167,0.9247615339692428,0.9808893680171084,0.9799285791035456,0.05653521420665272
test,2030,4,0,0.9046769718588982,0.9046604168548549,0.8885931558935362,0.9255445544554456,0.9066925315227934,0.968712007257846,0.9603368691282739,0.06781982333971466
train,2031,0,1,0.9242581859612622,0.9242444910205443,0.9110173554511458,0.9405068303306277,0.9255272514733817,0.9810399468308726,0.9802346921821392,0.05628966953184301
test,2031,0,1,0.9072716465226868,0.9072519262580704,0.8918507235338918,0.9271575613618369,0.9091614906832298,0.9681799566146349,0.9643986967922538,0.0688164439015831
