probability_bin_center,mean_predicted_probability,observed_frequency_weighted,mean_bin_count,total_bin_count
0.05,0.014020704597747392,0.009705644469498297,1632.04,81602
0.15000000000000002,0.14712675710224743,0.08767679924982417,255.94,12797
0.25,0.24805013258378825,0.17285894206549118,190.56,9528
0.35000000000000003,0.35070186042458357,0.259688995215311,167.2,8360
0.45,0.4503462322424591,0.3894532587604155,175.22,8761
0.55,0.5509495690965059,0.5207211168517094,181.94,9097
0.6500000000000001,0.6511943984235146,0.6580549916958849,216.76,10838
0.75,0.7523821593693223,0.7952738184546136,266.6,13330
0.8500000000000001,0.8548711494858988,0.9120550858184395,395.02,19751
0.95,0.9775877479995316,0.9792528999948898,1565.52,78276
