,DK,DB,DF,HDS,PR,TAS,HUSS,PT,UF,IP,LAI,WTD,RISK
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UF,-0.048937680856902366,0.07568701413438014,-0.030933768517261553,-0.1588614801065188,0.34637696421888525,0.0,-0.26339434065551093,0.4582773125036018,0.0,0.0,-0.12312080415776783,-0.021556124892062198,0.0
IP,-0.03862551321263033,0.07863310937532139,0.0,-0.021992395740729146,0.13460303784853025,0.0,-0.12297412684039286,0.14188790975589421,0.5080337014159875,0.0,0.0,-0.01823346492873901,0.0
LAI,0.0741026245829634,-0.08743461700581034,-0.08609424623339568,-0.23535481914292472,0.4174216466758888,-0.1459415741062592,0.4065159748230056,-0.09983203289665202,0.0,0.0,0.0,0.03602190775775892,0.0
WTD,-0.04479397125035659,-0.12562387003087636,-0.08142021276460529,0.25989078446810127,-0.07374613496159149,0.1107403305044867,-0.17201349408275585,-0.030755508791536938,0.0,0.0,0.0,0.0,0.0
RISK,-0.26486005692119674,-0.17779478641377583,0.0,-0.2892125363910805,0.28342264242028903,0.27961676850267586,-0.322809746806848,0.10598050066974046,0.07197612572717402,0.03525916782398987,-0.11614726535146458,-0.050187541808409855,0.0
