ADCODE99,NAME_EN_JX,n_points,n_points_all_classes,n_points_class_ge_min,summary_selection_mode,mean_score_H0,mean_score_H1,delta_mean,climate_increment_raw_score_mean,susceptibility_prob_delta_mean,change_rate,change_rate_pct,median_score_H0,median_score_H1,delta_median,H0_susceptibility_prob_mean,H1_susceptibility_prob_mean,H0_susceptibility_class_mean,H1_susceptibility_class_mean,susceptibility_class_delta_mean,H0_high_risk_share,H1_high_risk_share,high_risk_share_delta
410000,Henan,519,1543,519,H0_class_ge_2,0.6901291587726845,0.3375589255775767,0.35257023319510783,0.35257023319510783,0.1845713069090198,0.32353821690159884,32.35382169015988,0.6036056739271367,0.282163459963618,0.3214422139635187,0.5704776043973669,0.38590629748834715,2.9055876685934487,1.5876685934489403,1.3179190751445085,0.5761078998073218,0.21579961464354527,0.36030828516377655
320000,Jiangsu,461,890,461,H0_class_ge_2,0.8100206340715117,0.4102820795684121,0.3997385545030996,0.3997385545030996,0.198889579304052,0.3163038234350803,31.63038234350803,0.7324303310719413,0.35959927883248444,0.3728310522394569,0.6287928395682926,0.4299032602642406,3.158351409978308,1.8546637744034706,1.3036876355748372,0.702819956616052,0.403470715835141,0.299349240780911
150000,Inner Mongolia,1799,10652,1799,H0_class_ge_2,0.6082740335574467,0.29533736828351,0.3129366652739367,0.3129366652739367,0.1659998593788391,0.3136642131177284,31.36642131177284,0.5291245879849052,0.2402447598926496,0.28887982809225565,0.5292279209312729,0.3632280615524338,2.708727070594775,1.3752084491384102,1.3335186214563648,0.4936075597554197,0.1784324624791551,0.3151750972762646
220000,Jilin,1131,1759,1131,H0_class_ge_2,0.6024709309010785,0.3662005816576257,0.2362703492434528,0.2362703492434528,0.12781465874658454,0.24229326372472862,24.229326372472862,0.5412111122354073,0.3304336604344593,0.21077745180094798,0.5275204798586387,0.39970582111205416,2.7294429708222814,1.6772767462422635,1.0521662245800179,0.5260831122900088,0.22634836427939875,0.29973474801061006
130000,Hebei,889,1687,889,H0_class_ge_2,0.6661868273455337,0.4742116087129599,0.19197521863257377,0.19197521863257377,0.09204697864467559,0.16611257791328365,16.611257791328367,0.5241489418695551,0.5017107107726884,0.022438231096866712,0.5541240753769242,0.4620770967322486,2.750281214848144,2.1608548931383575,0.5894263217097864,0.4780652418447694,0.4634420697412823,0.01462317210348707
340000,Anhui,888,1340,888,H0_class_ge_2,0.7194952414503996,0.5291021233732941,0.19039311807710546,0.19039311807710546,0.09112920290074361,0.1555764505532172,15.55764505532172,0.6209741513209577,0.6093694186668217,0.011604732654135974,0.5857519089598431,0.49462270605909947,2.970720720720721,2.4222972972972974,0.5484234234234235,0.6486486486486487,0.5867117117117117,0.061936936936937026
350000,Fujian,778,1563,778,H0_class_ge_2,0.6205025156158726,0.48805676488964284,0.13244575072622972,0.13244575072622972,0.07275157618160005,0.13508021247975663,13.508021247975663,0.5661613196083075,0.4445967250573606,0.12156459455094693,0.538580557774165,0.465828981592565,2.822622107969152,2.2390745501285347,0.5835475578406171,0.5604113110539846,0.35218508997429304,0.20822622107969152
620000,Gansu,657,3828,657,H0_class_ge_2,0.44690422522298834,0.3540366220881982,0.09286760313479014,0.09286760313479014,0.053901560574044605,0.12217940478455337,12.217940478455338,0.4082362625611906,0.3312557841979431,0.0769804783632475,0.4411673200495011,0.3872657594754565,2.1948249619482496,1.6377473363774733,0.5570776255707763,0.1659056316590563,0.060882800608828,0.1050228310502283
430000,Hunan,1775,2154,1775,H0_class_ge_2,0.8340464397377348,0.6825613893558194,0.1514850503819154,0.1514850503819154,0.077056577425755,0.11835299804216626,11.835299804216625,0.8179450325840674,0.7190941635087293,0.09885086907533802,0.6510741485255966,0.5740175710998416,3.4360563380281692,3.0056338028169014,0.43042253521126783,0.8636619718309859,0.7132394366197183,0.15042253521126758
360000,Jiangxi,1365,1697,1365,H0_class_ge_2,0.8614964854210966,0.7075165626001869,0.15397992282090966,0.15397992282090966,0.0767307877277803,0.11588790312107357,11.588790312107356,0.8795780086655172,0.7422605406162872,0.13731746804922995,0.6621121416582715,0.5853813539304912,3.435164835164835,3.0183150183150182,0.4168498168498167,0.8373626373626374,0.7113553113553114,0.126007326007326
510000,Sichuan,215,4780,215,H0_class_ge_2,0.41488439378232916,0.32470627268676117,0.090178121095568,0.090178121095568,0.04790066686944522,0.11301937417521021,11.301937417521021,0.3812966514341718,0.2779557781904036,0.10334087324376817,0.4238270404434057,0.37592637357396047,2.130232558139535,1.5162790697674418,0.6139534883720932,0.12093023255813953,0.10697674418604651,0.013953488372093023
China,China,25213,90895,25184,provincewise_H0_class_ge_min_or_all_classes_fallback,0.681340627862385,1.5431401449628146,-0.8617995171004296,-0.8617995171004296,0.05195763278397714,0.09138422093023753,9.138422093023753,0.6175429065761335,0.5749367180220049,0.04260618855412868,0.5685624088609504,0.5166047760769733,2.9403878951334628,2.557252211160909,0.38313568397255393,0.6121048665371038,0.5432911593225717,0.06881370721453217
