NAME_EN_JX,2040,2060,2080,2100
Inner Mongolia,21.88351924,31.36642131,39.19025253,34.07105926
Jiangsu,19.88636128,31.63038234,35.30484676,34.34057722
Sichuan,4.15791198,11.30193742,26.49248399,25.65139041
Fujian,10.81916775,13.50802125,26.20824954,17.83773459
Hebei,10.62712846,16.61125779,21.98620704,5.308274656
Anhui,2.227265506,15.55764506,21.83217611,22.46604583
Gansu,4.610347507,12.21794048,19.84033117,24.53354555
Beijing,-28.20324068,-35.5595568,19.42589602,8.569548315
Henan,19.64494761,32.35382169,19.2333159,35.63157865
Yunnan,-5.517713517,5.101615041,18.16976846,20.9927093
Shaanxi,5.705777924,7.179971334,16.8210906,17.57632917
Heilongjiang,-6.274231298,-1.720288868,16.50893393,19.81976578
Zhejiang,5.059542481,8.754974144,16.23006936,14.80922387
China,4.342659743,9.138422093,14.78890538,13.89720789
Hunan,9.994615843,11.8352998,14.54791964,16.92226546
Ningxia,1.720809729,-3.611464813,13.42592931,14.61132297
Jiangxi,7.96199252,11.58879031,13.22201327,14.882716
Liaoning,7.012284854,8.125250467,12.72475501,10.60025566
Xinjiang,5.404810205,8.92398081,12.11256074,17.29254392
Chongqing,-4.252290592,-6.692591467,10.60154335,1.320745135
Shandong,-14.68682044,-10.82885343,10.58278462,11.24361502
Shanxi,-0.8279176468,2.89579955,10.19347315,4.184429547
Guangdong,6.086799074,7.072810911,8.902199713,8.113437797
Shanghai,0.07832674343,-36.74633293,8.082872903,25.39799459
Hubei,1.473710318,-0.7563581562,6.734076266,4.182688475
Tianjin,-39.06251835,-40.47646322,5.568248703,7.857661036
Hainan,3.515745697,-0.3813956485,2.251200717,-0.06617666961
Qinghai,-2.203146138,0.3874358843,-1.742785684,-2.208979583
Guangxi,2.229200418,0.4114555876,-2.205031408,0.5050052804
Jilin,2.274190336,24.22932637,-3.247445744,-17.8172329
Tibet,-3.913355704,-3.84446072,-3.666941788,-3.299417428
Guizhou,-5.374797274,-11.26002367,-10.35266259,-7.605606346
