NAME_EN_JX,rr_mean,n_cells,count_0,count_1,count_2,count_3,count_4,positive_total,positive_rate_pct,rate_0,rate_1,rate_2,rate_3,rate_4,share_1,scaled_rr_1,share_2,scaled_rr_2,share_3,scaled_rr_3,share_4,scaled_rr_4,rr_order,area_order
Jilin,0.34635042341515504,176,32,53.0,49.0,31.0,11.0,144.0,81.81818181818183,18.181818181818183,30.113636363636363,27.84090909090909,17.613636363636363,6.25,0.3680555555555556,0.1274761975069668,0.3402777777777778,0.11785535241210138,0.2152777777777778,0.07456154948520699,0.0763888888888889,0.026457324010879902,1,2
Liaoning,0.2839047520466576,123,24,53.0,27.0,15.0,4.0,99.0,80.48780487804879,19.51219512195122,43.08943089430895,21.951219512195124,12.195121951219512,3.2520325203252036,0.5353535353535354,0.151989412711847,0.2727272727272727,0.07742856873999752,0.15151515151515152,0.04301587152222085,0.04040404040404041,0.011470899072592227,2,8
Hebei,0.3286216469008406,174,58,62.0,46.0,8.0,0.0,116.0,66.66666666666666,33.33333333333333,35.63218390804598,26.436781609195403,4.597701149425287,0.0,0.5344827586206896,0.1756426043780355,0.39655172413793105,0.13031548066757473,0.06896551724137931,0.022663561855230385,0.0,0.0,3,4
Chongqing,0.12345025241429208,85,29,51.0,5.0,0.0,0.0,56.0,65.88235294117646,34.11764705882353,60.0,5.88235294117647,0.0,0.0,0.9107142857142857,0.11242790844873028,0.08928571428571429,0.011022343965561794,0.0,0.0,0.0,0.0,4,21
Guizhou,0.17607299468785187,168,61,64.0,35.0,8.0,0.0,107.0,63.69047619047619,36.30952380952381,38.095238095238095,20.833333333333336,4.761904761904762,0.0,0.5981308411214953,0.10531468841142541,0.32710280373831774,0.05759397022499827,0.07476635514018691,0.013164336051428176,0.0,0.0,5,6
Beijing,0.2667113801530114,7,3,3.0,0.0,1.0,0.0,4.0,57.14285714285714,42.857142857142854,42.857142857142854,0.0,14.285714285714285,0.0,0.75,0.20003353511475852,0.0,0.0,0.25,0.06667784503825284,0.0,0.0,6,28
Anhui,0.36499169354569333,140,65,36.0,19.0,16.0,4.0,75.0,53.57142857142857,46.42857142857143,25.71428571428571,13.571428571428571,11.428571428571429,2.857142857142857,0.48,0.1751960129019328,0.25333333333333335,0.09246456236490898,0.21333333333333335,0.07786489462308124,0.05333333333333334,0.01946622365577031,7,14
Shaanxi,0.17973507267624547,200,93,75.0,31.0,1.0,0.0,107.0,53.5,46.5,37.5,15.5,0.5,0.0,0.7009345794392523,0.12598252757680756,0.2897196261682243,0.05207277806508046,0.009345794392523364,0.0016797670343574342,0.0,0.0,8,5
Shanxi,0.19379235343300236,163,89,41.0,26.0,6.0,1.0,74.0,45.39877300613497,54.601226993865026,25.153374233128833,15.950920245398773,3.6809815950920246,0.6134969325153374,0.5540540540540541,0.10737143906423104,0.35135135135135137,0.06808920526024408,0.08108108108108109,0.015712893521594787,0.013513513513513514,0.0026188155869324645,9,15
Jiangsu,0.2113908761173117,88,49,25.0,13.0,1.0,0.0,39.0,44.31818181818182,55.68181818181818,28.40909090909091,14.772727272727273,1.1363636363636365,0.0,0.6410256410256411,0.1355069718700716,0.3333333333333333,0.07046362537243722,0.02564102564102564,0.0054202788748028636,0.0,0.0,10,22
Fujian,0.1332975073582321,147,82,60.0,5.0,0.0,0.0,65.0,44.21768707482993,55.78231292517006,40.816326530612244,3.4013605442176873,0.0,0.0,0.9230769230769231,0.1230438529460604,0.07692307692307693,0.0102536544121717,0.0,0.0,0.0,0.0,11,16
Hunan,0.09621266812462946,203,114,66.0,18.0,5.0,0.0,89.0,43.84236453201971,56.15763546798029,32.51231527093596,8.866995073891626,2.4630541871921183,0.0,0.7415730337078652,0.07134872018230949,0.20224719101123595,0.019458741867902588,0.056179775280898875,0.0054052060744173855,0.0,0.0,12,9
Zhejiang,0.12382008562462271,92,53,37.0,2.0,0.0,0.0,39.0,42.391304347826086,57.608695652173914,40.21739130434783,2.1739130434782608,0.0,0.0,0.9487179487179487,0.11747033764387282,0.05128205128205128,0.0063497479807498826,0.0,0.0,0.0,0.0,13,23
Guangdong,0.09142446986668856,191,111,77.0,3.0,0.0,0.0,80.0,41.8848167539267,58.1151832460733,40.31413612565445,1.5706806282722512,0.0,0.0,0.9625,0.08799605224668774,0.0375,0.003428417620000821,0.0,0.0,0.0,0.0,14,13
Henan,0.3089596354766172,146,90,37.0,12.0,6.0,1.0,56.0,38.35616438356164,61.64383561643836,25.34246575342466,8.21917808219178,4.10958904109589,0.684931506849315,0.6607142857142857,0.20413404486847922,0.21428571428571427,0.06620563617356083,0.10714285714285714,0.033102818086780415,0.017857142857142856,0.005517136347796736,15,20
Tianjin,0.2746158394900345,11,7,4.0,0.0,0.0,0.0,4.0,36.36363636363637,63.63636363636363,36.36363636363637,0.0,0.0,0.0,1.0,0.2746158394900345,0.0,0.0,0.0,0.0,0.0,0.0,16,27
Hubei,0.1147278804006591,170,109,55.0,6.0,0.0,0.0,61.0,35.88235294117647,64.11764705882354,32.35294117647059,3.5294117647058822,0.0,0.0,0.9016393442622951,0.10344317085305328,0.09836065573770492,0.011284709547605812,0.0,0.0,0.0,0.0,17,19
Ningxia,0.06593375085626667,45,29,16.0,0.0,0.0,0.0,16.0,35.55555555555556,64.44444444444444,35.55555555555556,0.0,0.0,0.0,1.0,0.06593375085626667,0.0,0.0,0.0,0.0,0.0,0.0,18,26
Jiangxi,0.11637249379341683,179,117,51.0,10.0,1.0,0.0,62.0,34.63687150837989,65.36312849162012,28.49162011173184,5.58659217877095,0.5586592178770949,0.0,0.8225806451612904,0.09572576102361707,0.16129032258064516,0.018769757063454327,0.016129032258064516,0.0018769757063454326,0.0,0.0,19,17
Guangxi,0.08180915283989121,246,161,79.0,6.0,0.0,0.0,85.0,34.552845528455286,65.4471544715447,32.113821138211385,2.4390243902439024,0.0,0.0,0.9294117647058824,0.07603438911001653,0.07058823529411765,0.005774763729874673,0.0,0.0,0.0,0.0,20,11
Heilongjiang,0.11182954990485446,404,299,82.0,23.0,0.0,0.0,105.0,25.99009900990099,74.00990099009901,20.2970297029703,5.693069306930694,0.0,0.0,0.780952380952381,0.0873335532590292,0.21904761904761905,0.02449599664582526,0.0,0.0,0.0,0.0,21,7
Shandong,0.21270119466411652,138,104,27.0,7.0,0.0,0.0,34.0,24.637681159420293,75.36231884057972,19.565217391304348,5.072463768115942,0.0,0.0,0.7941176470588235,0.168909772233269,0.20588235294117646,0.043791422430847514,0.0,0.0,0.0,0.0,22,24
Inner Mongolia,0.09083541857118962,1018,779,199.0,31.0,8.0,1.0,239.0,23.477406679764243,76.52259332023576,19.548133595284874,3.045186640471513,0.7858546168958742,0.09823182711198428,0.8326359832635983,0.07563283805718299,0.1297071129707113,0.01178199989835514,0.03347280334728033,0.003040516102801326,0.0041841004184100415,0.00038006451285016576,23,1
Yunnan,0.043772425993271386,370,288,82.0,0.0,0.0,0.0,82.0,22.162162162162165,77.83783783783784,22.162162162162165,0.0,0.0,0.0,1.0,0.043772425993271386,0.0,0.0,0.0,0.0,0.0,0.0,24,12
Gansu,0.0564584892152612,411,324,85.0,2.0,0.0,0.0,87.0,21.16788321167883,78.83211678832117,20.68126520681265,0.48661800486618007,0.0,0.0,0.9770114942528736,0.055160592911462095,0.022988505747126436,0.001297896303799108,0.0,0.0,0.0,0.0,25,10
Sichuan,0.061025737759168495,502,440,60.0,2.0,0.0,0.0,62.0,12.350597609561753,87.64940239043824,11.952191235059761,0.398406374501992,0.0,0.0,0.967741935483871,0.059057165573388866,0.03225806451612903,0.0019685721857796287,0.0,0.0,0.0,0.0,26,18
Xinjiang,0.031096104740233055,1574,1430,138.0,6.0,0.0,0.0,144.0,9.148665819567979,90.85133418043202,8.767471410419315,0.3811944091486658,0.0,0.0,0.9583333333333334,0.029800433709390013,0.041666666666666664,0.0012956710308430438,0.0,0.0,0.0,0.0,27,3
Hainan,0.24940632032673837,38,36,2.0,0.0,0.0,0.0,2.0,5.263157894736842,94.73684210526315,5.263157894736842,0.0,0.0,0.0,1.0,0.24940632032673837,0.0,0.0,0.0,0.0,0.0,0.0,28,29
