region,represented_n_100km2,represented_area_km2,weighted_total_cost_ISA_usd,weighted_total_cost_WTD_usd,weighted_total_cost_LAI_usd,weighted_total_cost_usd,mean_cost_ISA_usd_per_100km2,mean_cost_WTD_usd_per_100km2,mean_cost_LAI_usd_per_100km2,mean_cost_total_usd_per_100km2,ISA_share,WTD_share,LAI_share,mean_cost_total_million_usd_per_100km2,mean_cost_ISA_million_usd_per_100km2,mean_cost_WTD_million_usd_per_100km2,mean_cost_LAI_million_usd_per_100km2,mean_cost_total_usd_per_km2,mean_cost_ISA_usd_per_km2,mean_cost_WTD_usd_per_km2,mean_cost_LAI_usd_per_km2,mean_cost_total_million_usd_per_km2,mean_cost_ISA_million_usd_per_km2,mean_cost_WTD_million_usd_per_km2,mean_cost_LAI_million_usd_per_km2,dominant_component,dominant_share
Zhejiang,920.0506106282319,92005.0610628232,6161711638.307992,7363574245.442782,9488421291.357014,23013707175.107788,6697144.23003386,8003444.767472914,10312934.073135499,25013523.070642274,0.26774094201444676,0.3199647144814379,0.4122943435041153,25.013523070642275,6.697144230033859,8.003444767472914,10.3129340731355,250135.23070642274,66971.44230033859,80034.44767472915,103129.34073135498,0.25013523070642274,0.0669714423003386,0.08003444767472914,0.10312934073135498,Cost_LAI,0.4122943435041153
Jilin,1760.09682033227,176009.682033227,7901450500.804968,10552702190.254688,23705918851.37628,42160071542.435936,4489213.55321427,5995523.694124143,13468531.149838163,23953268.397176575,0.18741549081224437,0.2503008606053464,0.5622836485824092,23.953268397176576,4.489213553214269,5.9955236941241425,13.468531149838162,239532.68397176574,44892.135532142696,59955.23694124143,134685.31149838163,0.23953268397176575,0.0448921355321427,0.05995523694124143,0.13468531149838164,Cost_LAI,0.5622836485824092
Beijing,70.00385080866982,7000.385080866982,335145577.6117608,474967943.66187435,814641839.3846295,1624755360.6582646,4787530.596391902,6784883.091074907,11637100.3876795,23209514.07514631,0.2062744864408249,0.2923319751162061,0.501393538442969,23.20951407514631,4.787530596391902,6.784883091074907,11.637100387679501,232095.1407514631,47875.305963919025,67848.83091074908,116371.003876795,0.2320951407514631,0.04787530596391903,0.06784883091074907,0.116371003876795,Cost_LAI,0.501393538442969
Hebei,1740.095720101221,174009.57201012212,7683693768.698787,9995791320.897083,18944576036.05687,36624061125.65274,4415673.045993025,5744391.647785692,10887088.461406518,21047153.155185234,0.20979906467327475,0.27292962641698115,0.5172713089097442,21.047153155185235,4.415673045993025,5.744391647785691,10.887088461406519,210471.53155185233,44156.73045993025,57443.91647785692,108870.88461406517,0.21047153155185233,0.04415673045993025,0.05744391647785692,0.10887088461406517,Cost_LAI,0.5172713089097442
Shanxi,1630.0896688304545,163008.96688304545,5309744523.919424,11436618330.885567,17498856153.139732,34245219007.944725,3257332.7869313,7015944.306358946,10734904.028742598,21008181.122032844,0.15505068087570384,0.3339624818352695,0.5109868372890267,21.008181122032845,3.2573327869313,7.0159443063589455,10.734904028742598,210081.81122032844,32573.327869313,70159.44306358945,107349.04028742599,0.21008181122032843,0.032573327869313,0.07015944306358946,0.10734904028742599,Cost_LAI,0.5109868372890267
Liaoning,1230.0676642094838,123006.76642094838,5669563826.432213,6457377581.372697,13366302293.810242,25493243701.61515,4609147.92852133,5249611.683372394,10866314.661153408,20725074.273047134,0.22239476046247544,0.25329760531664247,0.524307634220882,20.725074273047134,4.609147928521329,5.249611683372394,10.866314661153408,207250.74273047133,46091.479285213296,52496.11683372394,108663.14661153407,0.20725074273047134,0.046091479285213295,0.052496116833723946,0.10866314661153408,Cost_LAI,0.524307634220882
Guizhou,1680.0924194080758,168009.24194080758,1139725488.6820798,10979079677.77639,22069332821.266747,34188137987.725216,678370.7107515096,6534806.98498985,13135785.011780564,20348962.707521923,0.0333368693285163,0.32113710555743863,0.6455260251140451,20.348962707521924,0.6783707107515097,6.53480698498985,13.135785011780564,203489.62707521924,6783.707107515096,65348.0698498985,131357.85011780565,0.20348962707521923,0.006783707107515096,0.0653480698498985,0.13135785011780565,Cost_LAI,0.6455260251140451
Jiangsu,880.048410166135,88004.8410166135,8348079020.845272,1536436896.460429,7485762456.450007,17370278373.755707,9485931.59695536,1745854.976512464,8506080.313282823,19737866.886750646,0.4805955806360687,0.08845205951228685,0.43095235985164454,19.737866886750645,9.48593159695536,1.745854976512464,8.506080313282823,197378.66886750647,94859.3159695536,17458.54976512464,85060.80313282824,0.19737866886750646,0.0948593159695536,0.01745854976512464,0.08506080313282824,Cost_ISA,0.4805955806360687
Shaanxi,2000.1100231048522,200011.00231048523,3121962883.568136,12368855837.317102,22369554445.603935,37860373166.489174,1560895.57449534,6184087.722392603,11184161.964689706,18929145.261577647,0.08245990787886465,0.3266966171444125,0.590843474976723,18.92914526157765,1.5608955744953399,6.1840877223926025,11.184161964689705,189291.45261577648,15608.9557449534,61840.87722392603,111841.61964689706,0.18929145261577648,0.0156089557449534,0.061840877223926026,0.11184161964689705,Cost_LAI,0.590843474976723
Hunan,2030.1116734514248,203011.1673451425,1231007583.1639435,13411263949.461008,22002442992.639053,36644714525.26401,606374.3188428093,6606170.549554206,10838045.650578598,18050590.518975616,0.03359304606712786,0.36598085489832005,0.6004260990345519,18.050590518975614,0.6063743188428093,6.606170549554206,10.838045650578598,180505.90518975616,6063.743188428093,66061.70549554206,108380.45650578597,0.18050590518975615,0.006063743188428093,0.06606170549554206,0.10838045650578597,Cost_LAI,0.6004260990345519
Guangdong,1910.1050720651338,191010.50720651337,6696341870.983543,12954784935.761036,10534801902.47048,30185928709.215057,3505745.2958562695,6782236.81263503,5515299.685100908,15803281.793592207,0.22183653633751896,0.42916635299036676,0.3489971106721143,15.803281793592207,3.5057452958562694,6.78223681263503,5.515299685100908,158032.81793592207,35057.452958562695,67822.3681263503,55152.996851009084,0.15803281793592205,0.0350574529585627,0.0678223681263503,0.055152996851009085,Cost_WT,0.42916635299036676
Guangxi,2460.1353284189677,246013.53284189675,812423574.4982742,16428217789.519339,20364300585.49389,37604941949.511505,330235.3188108505,6677769.958320589,8277715.599727282,15285720.876858722,0.02160417041964953,0.4368632668433821,0.5415325627369683,15.285720876858722,0.3302353188108505,6.677769958320589,8.277715599727282,152857.2087685872,3302.353188108505,66777.69958320589,82777.15599727283,0.15285720876858722,0.003302353188108505,0.06677769958320588,0.08277715599727282,Cost_LAI,0.5415325627369683
Henan,1460.080316866542,146008.0316866542,5796786254.560707,6041960491.952244,9427645442.964367,21266392189.477318,3970183.1382818096,4138101.46069143,6456936.193206758,14565220.792179998,0.27257967420675033,0.2841083921579245,0.44331193363532523,14.565220792179998,3.9701831382818096,4.13810146069143,6.456936193206758,145652.20792179997,39701.8313828181,41381.0146069143,64569.36193206758,0.14565220792179998,0.0397018313828181,0.041381014606914304,0.06456936193206758,Cost_LAI,0.44331193363532523
Shandong,1380.0759159423478,138007.59159423478,5112324553.974004,5069770410.69227,9235427027.418663,19417521992.084938,3704379.2264740667,3673544.5870240503,6691970.289991257,14069894.103489373,0.2632840872310027,0.2610925540735236,0.47562335869547373,14.069894103489373,3.704379226474067,3.6735445870240504,6.691970289991257,140698.94103489374,37043.79226474067,36735.4458702405,66919.70289991256,0.14069894103489375,0.037043792264740666,0.0367354458702405,0.06691970289991256,Cost_LAI,0.47562335869547373
Fujian,1470.0808669820663,147008.08669820664,3622827428.43828,7632690793.695679,8903925630.555878,20159443852.689835,2464372.885741717,5192021.041240306,6056759.073964941,13713153.000946965,0.17970869905495399,0.3786161388910172,0.44167516205402874,13.713153000946965,2.4643728857417173,5.192021041240306,6.056759073964941,137131.53000946966,24643.728857417173,51920.21041240306,60567.590739649415,0.13713153000946965,0.024643728857417172,0.05192021041240306,0.060567590739649416,Cost_LAI,0.44167516205402874
Chongqing,850.046759819562,85004.6759819562,507240004.8979378,5399901415.486444,5647198470.571329,11554339890.955711,596720.1204385612,6352475.735137997,6643397.442947786,13592593.298524344,0.04390038805202411,0.4673483268146956,0.48875128513328026,13.592593298524344,0.5967201204385612,6.352475735137997,6.643397442947786,135925.93298524345,5967.201204385612,63524.75735137997,66433.97442947786,0.13592593298524344,0.005967201204385612,0.06352475735137997,0.06643397442947786,Cost_LAI,0.48875128513328026
Hubei,1700.0935196391242,170009.35196391243,4084199805.0536394,7294938975.011216,11238286990.966331,22617425771.03119,2402338.3172006826,4290904.5242168205,6610393.405506223,13303636.246923726,0.18057757086948228,0.32253621826205825,0.49688621086845947,13.303636246923727,2.4023383172006825,4.2909045242168204,6.6103934055062235,133036.36246923727,24023.383172006826,42909.045242168206,66103.93405506223,0.13303636246923728,0.024023383172006828,0.04290904524216821,0.06610393405506224,Cost_LAI,0.49688621086845947
Heilongjiang,4040.2222466718013,404022.2246671801,4847995686.472321,15621222143.443146,27308752858.871857,47777970688.78732,1199932.9221222757,3866426.4462954686,6759220.456589458,11825579.825007202,0.10146926745907318,0.32695449216952993,0.5715762403713969,11.825579825007202,1.1999329221222756,3.8664264462954687,6.759220456589458,118255.79825007202,11999.329221222757,38664.264462954685,67592.20456589457,0.11825579825007203,0.011999329221222757,0.038664264462954685,0.06759220456589457,Cost_LAI,0.5715762403713969
Jiangxi,1790.0984706788427,179009.84706788426,1639371530.556663,7611700221.418018,9729951732.7339,18981023484.70858,915799.6375109907,4252112.577098344,5435428.213646873,10603340.428256208,0.08636897435364152,0.4010163217779129,0.5126147038684455,10.603340428256208,0.9157996375109907,4.252112577098345,5.435428213646873,106033.40428256209,9157.996375109908,42521.125770983446,54354.282136468726,0.10603340428256208,0.009157996375109908,0.042521125770983444,0.05435428213646873,Cost_LAI,0.5126147038684455
Yunnan,3700.203542743977,370020.3542743977,502001562.0785985,18177186631.601116,19855615210.420456,38534803404.100174,135668.63451688035,4912482.900365361,5366087.292510411,10414238.827392653,0.013027225202482402,0.47170830070115344,0.5152644740963641,10.414238827392653,0.13566863451688035,4.912482900365361,5.366087292510411,104142.38827392652,1356.6863451688034,49124.82900365361,53660.87292510411,0.10414238827392652,0.0013566863451688034,0.049124829003653614,0.05366087292510411,Cost_LAI,0.5152644740963641
China,90895.0,9089500.0,88258588736.7202,349968109657.7817,457447869748.702,895674568143.2039,970994.9803258727,3850245.994364725,5032706.636764421,9853947.61145502,0.09853867897543013,0.3907313237477425,0.5107299972768273,9.85394761145502,0.9709949803258726,3.850245994364725,5.032706636764421,98539.4761145502,9709.949803258727,38502.45994364725,50327.06636764421,0.0985394761145502,0.009709949803258728,0.038502459943647246,0.05032706636764421,Cost_LAI,0.5107299972768273
Tianjin,110.00605127076687,11000.605127076687,425533099.6603775,438469673.26784134,165112037.6589774,1029114810.5871962,3868269.9246514915,3985868.6699752556,1500935.9553555255,9355074.549982272,0.4134942916792493,0.42606487513055774,0.160440833190193,9.355074549982271,3.8682699246514916,3.9858686699752557,1.5009359553555255,93550.74549982272,38682.699246514916,39858.68669975256,15009.359553555254,0.09355074549982272,0.038682699246514914,0.03985868669975256,0.015009359553555254,Cost_WT,0.42606487513055774
Ningxia,450.02475519859183,45002.47551985918,386569153.6235961,1595474528.5910544,2201817792.0800877,4183861474.2947383,858995.3089425195,3545303.919752117,4892659.27406248,9296958.502757117,0.09239530419413777,0.3813401897728937,0.5262645060329684,9.296958502757118,0.8589953089425195,3.545303919752117,4.8926592740624795,92969.58502757117,8589.953089425195,35453.03919752117,48926.5927406248,0.09296958502757117,0.008589953089425196,0.035453039197521165,0.0489265927406248,Cost_LAI,0.5262645060329684
Inner Mongolia,10180.560017603697,1018056.0017603696,1297958679.0169318,36206909404.89762,50840666331.03532,88345534414.94986,127493.83892168691,3556475.2176982905,4993896.823271438,8677865.879891414,0.014691842520534812,0.40983293207370847,0.5754752254057568,8.677865879891414,0.12749383892168692,3.5564752176982903,4.993896823271437,86778.65879891414,1274.9383892168692,35564.7521769829,49938.968232714375,0.08677865879891414,0.0012749383892168692,0.035564752176982906,0.049938968232714376,Cost_LAI,0.5754752254057568
Xinjiang,15740.865881835187,1574086.5881835187,1226911803.5106046,72974368009.0654,59788792149.85675,133990071962.43275,77944.36549557604,4635981.816812069,3798316.5982534965,8512242.780561142,0.00915673665623971,0.5446251870774834,0.4462180762662769,8.512242780561142,0.07794436549557604,4.635981816812069,3.7983165982534963,85122.42780561141,779.4436549557604,46359.81816812069,37983.16598253496,0.08512242780561141,0.0007794436549557604,0.046359818168120695,0.03798316598253496,Cost_WT,0.5446251870774834
Gansu,4110.226097480471,411022.60974804714,918205501.1213586,11278147961.574749,13432049079.816902,25628402542.51301,223395.37518001982,2743923.982305534,3267958.686761932,6235278.044247486,0.03582765252723877,0.4400644145832456,0.5241079328895157,6.235278044247486,0.2233953751800198,2.7439239823055344,3.267958686761932,62352.780442474854,2233.953751800198,27439.23982305534,32679.58686761932,0.06235278044247485,0.002233953751800198,0.02743923982305534,0.03267958686761932,Cost_LAI,0.5241079328895157
Sichuan,5020.2761579931785,502027.61579931783,568834484.1798,13504297480.3569,14260923172.833221,28334055137.36992,113307.40905041921,2689951.1212855573,2840665.079774004,5643923.61010998,0.020075999761487072,0.4766101221616533,0.5033138780768596,5.64392361010998,0.11330740905041921,2.6899511212855574,2.840665079774004,56439.2361010998,1133.074090504192,26899.511212855574,28406.65079774004,0.0564392361010998,0.001133074090504192,0.026899511212855574,0.02840665079774004,Cost_LAI,0.5033138780768596
Anhui,1400.0770161733963,140007.70161733963,2779510907.181745,2122800343.164463,2687914043.4533634,7590225293.799572,1985255.7217020332,1516202.550747079,1919832.9894735387,5421291.261922651,0.3661961008525423,0.2796755380763956,0.35412836107106216,5.421291261922651,1.9852557217020332,1.516202550747079,1.9198329894735386,54212.91261922651,19852.55721702033,15162.025507470791,19198.329894735387,0.05421291261922651,0.019852557217020332,0.015162025507470792,0.019198329894735387,Cost_ISA,0.3661961008525423
Shanghai,40.00220046209704,4000.2200462097044,98923241.55393068,17163499.495157313,0.0,116086741.049088,2472944.998304846,429063.883908589,0.0,2902008.882213435,0.8521493553867654,0.1478506446132347,0.0,2.902008882213435,2.4729449983048464,0.429063883908589,0.0,29020.088822134352,24729.449983048464,4290.63883908589,0.0,0.029020088822134353,0.024729449983048463,0.0042906388390858904,0.0,Cost_ISA,0.8521493553867654
Qinghai,6940.381780173837,694038.1780173837,754434.2045800915,9989018805.5262,9367093954.608677,19356867194.339455,108.70211877035892,1439260.7095565286,1349651.1072873657,2789020.5189626645,3.8975015791848344e-05,0.5160452208117281,0.48391580417248015,2.7890205189626647,0.00010870211877035892,1.4392607095565286,1.3496511072873658,27890.205189626646,1.0870211877035891,14392.607095565287,13496.511072873656,0.027890205189626645,1.0870211877035892e-06,0.014392607095565287,0.013496511072873656,Cost_WT,0.5160452208117281
Tibet,11820.650236549676,1182065.0236549675,345054.9868020292,14995226861.439468,14711786153.807148,29707358070.233418,29.190863437876928,1268561.9286047346,1244583.4923968923,2513174.611865065,1.1615135414810651e-05,0.5047647396307714,0.4952236452338136,2.513174611865065,2.919086343787693e-05,1.2685619286047345,1.2445834923968924,25131.74611865065,0.2919086343787693,12685.619286047346,12445.834923968923,0.025131746118650652,2.919086343787693e-07,0.012685619286047346,0.012445834923968923,Cost_WT,0.5047647396307714
Hainan,380.020904389922,38002.0904389922,31445294.131917942,37191308.29270989,0.0,68636602.42462783,82746.22203323155,97866.48014118084,0.0,180612.70217441238,0.45814176432245585,0.5418582356775442,0.0,0.1806127021744124,0.08274622203323155,0.09786648014118085,0.0,1806.1270217441238,827.4622203323155,978.6648014118084,0.0,0.001806127021744124,0.0008274622203323155,0.0009786648014118084,0.0,Cost_WT,0.5418582356775442
